unix_timestamp_ms,fcr_price_eur_per_mw_4h
1707123600000,1032.43
1707127200000,1013.68
1707130800000,1012.1
1707134400000,1009.98
1707138000000,1018.45
1707141600000,1061.1
1707145200000,932.8
1707148800000,939.47
1707152400000,965.38
1707156000000,1025.63
1707159600000,1020.8
1707163200000,1022.08
1707166800000,1016.55
1707170400000,1019.35
1707174000000,1009.22
1707177600000,1001.73
1707181200000,1002.72
1707184800000,1005.97
1707188400000,1092.85
1707192000000,1185.95
1707195600000,481.65
1707199200000,913.85
1707202800000,840.93
1707206400000,1004.7
1707210000000,937.25
1707213600000,960.15
1707217200000,997.75
1707220800000,914.2
1707224400000,880.1
1707228000000,827.03
1707231600000,857.25
1707235200000,896.2
1707238800000,867.33
1707242400000,879.45
1707246000000,941.45
1707249600000,1126.63
1707253200000,1032.68
1707256800000,1039.95
1707260400000,1008.43
1707264000000,1036.0
1707267600000,1067.03
1707271200000,334.45
1707274800000,96.95
1707278400000,221.48
1707282000000,397.33
1707285600000,463.6
1707289200000,937.6
1707292800000,858.78
1707296400000,116.23
1707300000000,557.28
1707303600000,0.0
1707307200000,7.15
1707310800000,9.38
1707314400000,307.23
1707318000000,36.95
1707321600000,569.68
1707325200000,117.93
1707328800000,388.55
1707332400000,153.77
1707336000000,169.6
1707339600000,112.53
1707343200000,369.53
1707346800000,321.98
1707350400000,23.48
1707354000000,60.68
1707357600000,5.63
1707361200000,28.33
1707364800000,0.95
1707368400000,48.9
1707372000000,253.58
1707375600000,22.0
1707379200000,140.18
1707382800000,1066.08
1707386400000,80.23
1707390000000,465.68
1707393600000,652.47
1707397200000,86.25
1707400800000,47.63
1707404400000,155.45
1707408000000,46.25
1707411600000,22.9
1707415200000,11.2
1707418800000,7.5
1707422400000,3.88
1707426000000,4.05
1707429600000,5.0
1707433200000,43.03
1707436800000,30.75
1707440400000,12.55
1707444000000,1.68
1707447600000,31.6
1707451200000,187.15
1707454800000,80.55
1707458400000,194.8
1707462000000,135.2
1707465600000,111.7
1707469200000,117.12
1707472800000,198.3
1707476400000,180.75
1707480000000,573.82
1707483600000,316.58
1707487200000,309.5
1707490800000,64.83
1707494400000,791.5
1707498000000,1123.65
1707501600000,1057.4
1707505200000,1325.15
1707508800000,1123.88
1707512400000,46.38
1707516000000,210.0
1707519600000,121.83
1707523200000,199.73
1707526800000,239.45
1707530400000,35.05
1707534000000,89.4
1707537600000,101.5
1707541200000,192.98
1707544800000,337.33
1707548400000,363.13
1707552000000,769.47
1707555600000,947.18
1707559200000,1056.2
1707562800000,959.18
1707566400000,882.1
1707570000000,740.0
1707573600000,243.15
1707577200000,0.0
1707580800000,9.52
1707584400000,339.38
1707588000000,936.55
1707591600000,650.25
1707595200000,892.05
1707598800000,1054.55
1707602400000,1009.78
1707606000000,737.38
1707609600000,865.15
1707613200000,288.85
1707616800000,2.1
1707620400000,4.88
1707624000000,3.55
1707627600000,5.78
1707631200000,26.0
1707634800000,326.73
1707638400000,853.3
1707642000000,340.15
1707645600000,0.0
1707649200000,2.28
1707652800000,2.9
1707656400000,1.53
1707660000000,5.4
1707663600000,1.58
1707667200000,182.05
1707670800000,593.98
1707674400000,1032.73
1707678000000,1044.05
1707681600000,1027.0
1707685200000,707.48
1707688800000,914.58
1707692400000,594.3
1707696000000,1007.25
1707699600000,1022.73
1707703200000,1036.65
1707706800000,786.7
1707710400000,610.38
1707714000000,377.03
1707717600000,240.33
1707721200000,220.67
1707724800000,289.63
1707728400000,323.95
1707732000000,187.6
1707735600000,1101.0
1707739200000,97.13
1707742800000,633.48
1707746400000,109.63
1707750000000,10.13
1707753600000,23.65
1707757200000,126.12
1707760800000,737.08
1707764400000,1150.65
1707768000000,586.48
1707771600000,1112.95
1707775200000,919.58
1707778800000,510.6
1707782400000,302.9
1707786000000,440.7
1707789600000,194.4
1707793200000,169.52
1707796800000,178.33
1707800400000,1031.1
1707804000000,1139.85
1707807600000,1041.25
1707811200000,841.3
1707814800000,1181.63
1707818400000,948.53
1707822000000,440.63
1707825600000,145.85
1707829200000,215.18
1707832800000,372.42
1707836400000,0.0
1707840000000,124.65
1707843600000,174.33
1707847200000,1340.27
1707850800000,1075.1
1707854400000,1143.58
1707858000000,1091.98
1707861600000,1059.03
1707865200000,9.0
1707868800000,21.23
1707872400000,14.88
1707876000000,0.48
1707879600000,23.28
1707883200000,221.7
1707886800000,834.73
1707890400000,1008.1
1707894000000,1284.3
1707897600000,444.0
1707901200000,268.42
1707904800000,69.88
1707908400000,5.3
1707912000000,12.3
1707915600000,4.85
1707919200000,281.55
1707922800000,53.23
1707926400000,76.45
1707930000000,741.3
1707933600000,1847.7
1707937200000,1367.58
1707940800000,493.15
1707944400000,592.53
1707948000000,164.58
1707951600000,29.3
1707955200000,1.23
1707958800000,2.43
1707962400000,4.43
1707966000000,3.68
1707969600000,447.15
1707973200000,207.2
1707976800000,210.38
1707980400000,222.15
1707984000000,446.6
1707987600000,68.68
1707991200000,68.9
1707994800000,3.95
1707998400000,1.3
1708002000000,26.93
1708005600000,5.2
1708009200000,83.9
1708012800000,173.23
1708016400000,382.08
1708020000000,104.0
1708023600000,73.13
1708027200000,222.75
1708030800000,61.55
1708034400000,65.98
1708038000000,2.43
1708041600000,10.98
1708045200000,99.23
1708048800000,5.93
1708052400000,1.08
1708056000000,39.23
1708059600000,64.68
1708063200000,347.83
1708066800000,558.63
1708070400000,646.3
1708074000000,677.98
1708077600000,699.6
1708081200000,784.18
1708084800000,765.75
1708088400000,761.5
1708092000000,1153.65
1708095600000,552.48
1708099200000,471.63
1708102800000,1007.53
1708106400000,951.47
1708110000000,1080.2
1708113600000,1058.75
1708117200000,1061.2
1708120800000,1050.93
1708124400000,894.78
1708128000000,898.0
1708131600000,782.38
1708135200000,40.6
1708138800000,84.5
1708142400000,109.13
1708146000000,815.63
1708149600000,897.25
1708153200000,685.45
1708156800000,736.03
1708160400000,748.25
1708164000000,21.2
1708167600000,4.83
1708171200000,3.5
1708174800000,11.93
1708178400000,0.0
1708182000000,38.5
1708185600000,23.33
1708189200000,0.0
1708192800000,81.38
1708196400000,0.75
1708200000000,74.33
1708203600000,77.0
1708207200000,48.15
1708210800000,0.0
1708214400000,15.33
1708218000000,3.55
1708221600000,6.03
1708225200000,1.88
1708228800000,6.5
1708232400000,13.28
1708236000000,23.18
1708239600000,23.65
1708243200000,36.65
1708246800000,354.75
1708250400000,38.4
1708254000000,0.0
1708257600000,9.83
1708261200000,3.0
1708264800000,10.0
1708268400000,51.97
1708272000000,103.68
1708275600000,321.0
1708279200000,310.2
1708282800000,519.0
1708286400000,259.65
1708290000000,319.13
1708293600000,379.18
1708297200000,744.82
1708300800000,751.18
1708304400000,824.85
1708308000000,583.35
1708311600000,495.18
1708315200000,564.63
1708318800000,1078.68
1708322400000,1066.58
1708326000000,745.4
1708329600000,937.55
1708333200000,102.93
1708336800000,637.2
1708340400000,203.35
1708344000000,145.15
1708347600000,170.28
1708351200000,261.6
1708354800000,433.45
1708358400000,362.7
1708362000000,329.45
1708365600000,835.8
1708369200000,1027.63
1708372800000,1130.45
1708376400000,551.38
1708380000000,449.85
1708383600000,471.03
1708387200000,371.25
1708390800000,350.1
1708394400000,1026.65
1708398000000,1127.23
1708401600000,952.78
1708405200000,340.88
1708408800000,530.18
1708412400000,390.05
1708416000000,758.55
1708419600000,814.63
1708423200000,1067.45
1708426800000,1129.8
1708430400000,1278.53
1708434000000,1352.15
1708437600000,562.75
1708441200000,88.35
1708444800000,78.35
1708448400000,1437.8
1708452000000,1114.9
1708455600000,1115.98
1708459200000,1170.5
1708462800000,1251.75
1708466400000,1213.8
1708470000000,1021.03
1708473600000,1083.7
1708477200000,1023.9
1708480800000,1209.43
1708484400000,1254.0
1708488000000,786.8
1708491600000,61.7
1708495200000,244.15
1708498800000,155.68
1708502400000,157.53
1708506000000,603.43
1708509600000,389.45
1708513200000,280.68
1708516800000,218.53
1708520400000,172.43
1708524000000,33.08
1708527600000,36.2
1708531200000,65.43
1708534800000,26.48
1708538400000,1331.25
1708542000000,1164.75
1708545600000,1100.9
1708549200000,1055.75
1708552800000,1133.5
1708556400000,950.68
1708560000000,1033.83
1708563600000,1055.23
1708567200000,292.95
1708570800000,35.43
1708574400000,95.3
1708578000000,112.63
1708581600000,124.5
1708585200000,274.68
1708588800000,82.98
1708592400000,203.65
1708596000000,41.95
1708599600000,28.6
1708603200000,5.33
1708606800000,27.8
1708610400000,71.48
1708614000000,81.33
1708617600000,90.38
1708621200000,1222.13
1708624800000,1118.98
1708628400000,860.18
1708632000000,853.58
1708635600000,884.83
1708639200000,865.6
1708642800000,1011.55
1708646400000,1002.53
1708650000000,840.23
1708653600000,776.05
1708657200000,833.8
1708660800000,1091.75
1708664400000,635.8
1708668000000,1006.05
1708671600000,939.48
1708675200000,954.9
1708678800000,1059.2
1708682400000,1117.1
1708686000000,1149.33
1708689600000,1234.9
1708693200000,1500.98
1708696800000,965.13
1708700400000,1224.0
1708704000000,734.33
1708707600000,501.4
1708711200000,522.13
1708714800000,637.15
1708718400000,897.78
1708722000000,1265.43
1708725600000,1114.28
1708729200000,459.93
1708732800000,325.7
1708736400000,212.68
1708740000000,17.5
1708743600000,228.68
1708747200000,324.2
1708750800000,405.38
1708754400000,429.53
1708758000000,332.1
1708761600000,888.6
1708765200000,264.1
1708768800000,291.38
1708772400000,826.03
1708776000000,460.35
1708779600000,529.23
1708783200000,271.33
1708786800000,33.0
1708790400000,29.15
1708794000000,833.3
1708797600000,786.65
1708801200000,1246.75
1708804800000,1161.25
1708808400000,1073.48
1708812000000,1062.33
1708815600000,1000.0
1708819200000,1045.35
1708822800000,1052.4
1708826400000,1033.78
1708830000000,1078.27
1708833600000,995.8
1708837200000,1000.43
1708840800000,1005.73
1708844400000,1008.9
1708848000000,1026.32
1708851600000,930.95
1708855200000,991.0
1708858800000,1077.65
1708862400000,804.3
1708866000000,815.03
1708869600000,589.63
1708873200000,29.95
1708876800000,229.35
1708880400000,24.53
1708884000000,0.0
1708887600000,1.0
1708891200000,2.47
1708894800000,87.45
1708898400000,103.73
